"","department","education","gender","recruitment_channel","no_of_trainings","age","previous_year_rating","length_of_service","awards_won.","avg_training_score","is_promoted"
"96","Analytics","Bachelor's","m","sourcing",1,31,4,4,"No",86,"Non-Promotion"
"98","Operations","Bachelor's","f","sourcing",1,33,3,5,"No",57,"Non-Promotion"
"102","Operations","Bachelor's","f","other",1,37,3,11,"No",57,"Non-Promotion"
"103","Analytics","Bachelor's","m","sourcing",2,39,3,4,"No",83,"Non-Promotion"
"104","Sales & Marketing","Bachelor's","m","other",1,40,5,8,"No",54,"Non-Promotion"
"105","Sales & Marketing","Master's & above","m","sourcing",1,42,5,4,"No",50,"Non-Promotion"
"106","Operations","Bachelor's","m","other",1,35,4,6,"No",57,"Promotion"
"110","Analytics","Master's & above","m","other",1,42,2,19,"No",79,"Non-Promotion"
"114","Sales & Marketing","Bachelor's","f","other",1,40,3,2,"No",90,"Promotion"
"115","Sales & Marketing","Bachelor's","m","referred",1,34,5,5,"No",49,"Non-Promotion"
"118","Procurement","Bachelor's","m","sourcing",4,30,3,2,"No",72,"Non-Promotion"
"119","Procurement","Bachelor's","f","other",1,27,4,4,"No",72,"Promotion"
"120","Technology","Bachelor's","m","other",4,36,4,7,"No",82,"Non-Promotion"
"122","Sales & Marketing","Master's & above","m","other",1,34,5,7,"No",51,"Promotion"
"127","Procurement","Master's & above","f","other",1,40,5,5,"No",68,"Non-Promotion"
"129","Operations","Master's & above","m","other",1,38,5,9,"No",61,"Non-Promotion"
"134","Analytics","Bachelor's","m","other",1,32,3,8,"No",89,"Promotion"
"135","Sales & Marketing","Master's & above","m","sourcing",1,36,5,8,"No",50,"Non-Promotion"
"137","Technology","Bachelor's","m","other",1,27,3,4,"No",78,"Non-Promotion"
"138","Finance","Master's & above","m","other",2,34,3,7,"No",56,"Non-Promotion"
"140","Technology","Bachelor's","f","sourcing",1,30,4,2,"No",77,"Non-Promotion"
"141","Technology","Bachelor's","f","other",2,30,3,7,"Yes",76,"Non-Promotion"
"144","Finance","Bachelor's","m","sourcing",1,28,3,2,"No",57,"Non-Promotion"
"145","Technology","Bachelor's","m","other",2,28,3,5,"No",81,"Non-Promotion"
"146","Sales & Marketing","Bachelor's","m","other",1,29,3,2,"No",51,"Non-Promotion"
"152","Technology","Bachelor's","f","other",2,34,5,8,"No",88,"Promotion"
"158","Finance","Bachelor's","m","sourcing",2,35,3,2,"No",56,"Non-Promotion"
"160","Sales & Marketing","Bachelor's","f","sourcing",1,32,4,4,"No",45,"Non-Promotion"
"162","Technology","Bachelor's","m","sourcing",1,29,3,5,"No",75,"Non-Promotion"
"165","Procurement","Bachelor's","f","other",1,33,3,3,"No",73,"Non-Promotion"
"166","Procurement","Master's & above","f","other",1,33,5,4,"No",67,"Non-Promotion"
"167","Sales & Marketing","Bachelor's","f","other",1,39,1,8,"No",45,"Non-Promotion"
"168","Technology","Master's & above","m","other",1,34,4,7,"No",82,"Non-Promotion"
"171","Finance","Bachelor's","m","other",1,29,5,6,"No",61,"Non-Promotion"
"172","Sales & Marketing","Bachelor's","m","sourcing",2,28,1,2,"No",50,"Non-Promotion"
"173","Technology","Bachelor's","f","other",1,28,2,5,"No",75,"Non-Promotion"
"176","Sales & Marketing","Bachelor's","f","other",2,27,2,4,"No",54,"Non-Promotion"
"180","Analytics","Bachelor's","m","sourcing",1,29,5,6,"No",84,"Non-Promotion"
"181","Sales & Marketing","Bachelor's","m","sourcing",1,43,3,15,"No",51,"Non-Promotion"
"182","Sales & Marketing","Bachelor's","m","sourcing",3,27,4,4,"No",49,"Non-Promotion"
"183","Procurement","Bachelor's","m","sourcing",1,26,4,4,"No",70,"Non-Promotion"
"184","Procurement","Bachelor's","f","other",1,31,5,5,"No",72,"Non-Promotion"
"186","Operations","Bachelor's","f","other",2,39,5,12,"No",55,"Non-Promotion"
"187","Operations","Bachelor's","f","other",2,30,3,6,"No",57,"Non-Promotion"
"189","Sales & Marketing","Bachelor's","m","other",1,34,4,7,"No",48,"Promotion"
"191","Sales & Marketing","Master's & above","m","other",1,41,5,7,"No",51,"Non-Promotion"
"193","Analytics","Bachelor's","f","other",1,32,3,4,"No",86,"Non-Promotion"
"196","Technology","Bachelor's","m","other",1,27,4,2,"No",75,"Non-Promotion"
"198","Sales & Marketing","Bachelor's","m","sourcing",2,36,3,9,"No",49,"Non-Promotion"
"199","Sales & Marketing","Bachelor's","m","other",2,35,1,8,"No",39,"Non-Promotion"
"207","Sales & Marketing","Bachelor's","m","other",1,38,3,4,"No",49,"Non-Promotion"
"208","Technology","Bachelor's","m","other",1,40,1,3,"No",78,"Non-Promotion"
"211","Procurement","Below Secondary","f","other",1,23,1,2,"No",69,"Non-Promotion"
"212","Sales & Marketing","Master's & above","f","sourcing",1,36,1,2,"No",53,"Non-Promotion"
"220","Analytics","Bachelor's","m","other",2,27,5,3,"No",85,"Non-Promotion"
"223","Analytics","Bachelor's","m","other",2,28,3,5,"No",86,"Non-Promotion"
"227","Sales & Marketing","Bachelor's","m","other",2,35,3,9,"No",49,"Non-Promotion"
"230","Sales & Marketing","Bachelor's","m","sourcing",1,32,3,5,"No",52,"Non-Promotion"
"236","Sales & Marketing","Bachelor's","m","sourcing",1,36,3,8,"No",51,"Non-Promotion"
"240","Operations","Bachelor's","m","other",2,38,3,7,"Yes",60,"Non-Promotion"
"241","Sales & Marketing","Bachelor's","m","sourcing",1,28,1,2,"No",48,"Non-Promotion"
"242","Sales & Marketing","Bachelor's","m","sourcing",3,26,2,3,"No",52,"Non-Promotion"
"244","Analytics","Bachelor's","m","sourcing",1,30,3,4,"No",84,"Non-Promotion"
"245","Operations","Bachelor's","m","sourcing",2,37,2,4,"No",57,"Promotion"
"248","Technology","Bachelor's","m","other",1,31,4,4,"No",78,"Non-Promotion"
"249","Technology","Bachelor's","f","other",1,38,5,7,"No",82,"Non-Promotion"
"254","Technology","Bachelor's","f","other",1,29,5,3,"No",78,"Non-Promotion"
"257","Analytics","Bachelor's","m","other",2,26,4,2,"No",87,"Non-Promotion"
"266","Operations","Bachelor's","m","other",1,33,4,3,"No",61,"Non-Promotion"
"270","Sales & Marketing","Master's & above","f","sourcing",2,34,2,8,"No",49,"Non-Promotion"
"271","R&D","Bachelor's","m","other",2,26,5,3,"No",87,"Non-Promotion"
"274","Operations","Master's & above","m","other",1,36,3,4,"No",60,"Non-Promotion"
"276","Procurement","Master's & above","m","other",1,38,4,7,"No",66,"Non-Promotion"
"280","Analytics","Bachelor's","m","sourcing",1,29,4,4,"No",78,"Non-Promotion"
"281","Sales & Marketing","Bachelor's","f","other",1,40,3,12,"No",50,"Non-Promotion"
"282","Technology","Bachelor's","m","referred",2,29,4,6,"No",75,"Non-Promotion"
"284","Finance","Bachelor's","m","other",1,32,5,6,"No",58,"Non-Promotion"
"286","Procurement","Bachelor's","f","sourcing",1,30,5,3,"No",65,"Non-Promotion"
"288","Sales & Marketing","Bachelor's","m","sourcing",1,35,3,7,"No",56,"Non-Promotion"
"289","Technology","Bachelor's","f","sourcing",2,32,1,3,"No",80,"Non-Promotion"
"291","Sales & Marketing","Bachelor's","m","sourcing",2,44,5,14,"No",48,"Non-Promotion"
"293","Technology","Bachelor's","f","other",1,46,4,17,"No",85,"Non-Promotion"
"297","Procurement","Bachelor's","f","other",1,29,4,2,"No",95,"Promotion"
"298","Technology","Bachelor's","m","sourcing",1,30,2,9,"No",79,"Non-Promotion"
"302","Technology","Master's & above","m","sourcing",1,46,5,10,"No",76,"Non-Promotion"
"303","Procurement","Bachelor's","m","sourcing",1,27,2,2,"No",69,"Non-Promotion"
"304","Sales & Marketing","Bachelor's","m","sourcing",1,34,2,5,"No",47,"Non-Promotion"
"306","Operations","Bachelor's","f","other",1,35,5,10,"No",63,"Non-Promotion"
"307","Procurement","Bachelor's","m","other",1,36,4,3,"No",66,"Non-Promotion"
"308","Procurement","Master's & above","f","other",1,58,1,13,"No",70,"Non-Promotion"
"309","Finance","Bachelor's","m","other",1,29,4,4,"No",57,"Non-Promotion"
"310","Procurement","Bachelor's","f","referred",1,33,3,3,"No",67,"Non-Promotion"
"312","Legal","Below Secondary","m","other",1,25,5,2,"No",59,"Non-Promotion"
"313","Procurement","Bachelor's","m","other",4,41,2,9,"No",68,"Non-Promotion"
"315","Analytics","Master's & above","m","other",1,50,1,7,"Yes",79,"Non-Promotion"
"316","Sales & Marketing","Bachelor's","m","other",1,30,1,7,"No",53,"Non-Promotion"
"318","Analytics","Master's & above","m","other",1,40,5,5,"Yes",83,"Promotion"
"320","Technology","Bachelor's","m","other",1,35,5,8,"No",81,"Non-Promotion"
"321","Sales & Marketing","Master's & above","m","other",1,37,3,7,"No",52,"Non-Promotion"
"322","Operations","Master's & above","m","other",1,34,3,3,"No",75,"Promotion"
"327","Finance","Bachelor's","m","sourcing",4,31,5,3,"No",60,"Non-Promotion"
"328","Analytics","Bachelor's","m","sourcing",1,32,3,6,"No",86,"Non-Promotion"
"329","Sales & Marketing","Bachelor's","m","sourcing",1,36,5,8,"No",48,"Non-Promotion"
"330","Technology","Bachelor's","f","sourcing",1,57,3,19,"No",81,"Non-Promotion"
"331","Sales & Marketing","Bachelor's","f","sourcing",1,42,4,9,"No",51,"Non-Promotion"
"333","Analytics","Bachelor's","m","sourcing",2,33,4,3,"No",86,"Non-Promotion"
"339","Technology","Master's & above","m","other",1,31,5,4,"No",82,"Non-Promotion"
"341","Analytics","Bachelor's","m","other",1,30,1,4,"No",84,"Non-Promotion"
"352","Sales & Marketing","Bachelor's","f","other",1,34,5,5,"No",60,"Promotion"
"354","Technology","Bachelor's","m","sourcing",1,35,3,7,"No",82,"Non-Promotion"
"357","Technology","Bachelor's","m","sourcing",1,31,1,2,"No",81,"Non-Promotion"
"362","Sales & Marketing","Bachelor's","m","sourcing",1,37,5,2,"No",54,"Non-Promotion"
"364","Procurement","Bachelor's","m","other",1,32,3,8,"No",69,"Non-Promotion"
"369","Analytics","Bachelor's","m","sourcing",1,35,5,3,"No",81,"Non-Promotion"
"373","Sales & Marketing","Bachelor's","m","sourcing",2,31,3,4,"No",53,"Non-Promotion"
"376","Operations","Master's & above","f","other",1,31,5,7,"No",59,"Non-Promotion"
"377","Sales & Marketing","Master's & above","f","other",1,37,3,6,"No",47,"Non-Promotion"
"378","Sales & Marketing","Master's & above","m","other",1,42,3,12,"No",48,"Non-Promotion"
"383","HR","Master's & above","f","referred",1,57,3,13,"No",53,"Non-Promotion"
"384","Sales & Marketing","Master's & above","m","other",2,42,2,10,"No",46,"Non-Promotion"
"386","Operations","Bachelor's","f","sourcing",1,34,5,8,"No",54,"Non-Promotion"
"388","Operations","Master's & above","f","referred",1,32,4,7,"No",59,"Non-Promotion"
"391","Technology","Master's & above","m","other",1,46,3,17,"No",83,"Non-Promotion"
"394","Technology","Bachelor's","m","other",1,40,5,12,"No",84,"Non-Promotion"
"395","Technology","Bachelor's","m","other",1,32,3,6,"No",73,"Non-Promotion"
"400","Operations","Bachelor's","m","sourcing",4,31,3,6,"No",59,"Non-Promotion"
"401","Operations","Bachelor's","f","other",1,40,4,13,"No",60,"Non-Promotion"
"403","Operations","Master's & above","m","other",1,38,3,6,"No",60,"Non-Promotion"
"405","Procurement","Master's & above","m","other",1,49,5,20,"No",65,"Non-Promotion"
"407","Analytics","Bachelor's","m","other",2,26,3,2,"No",91,"Non-Promotion"
"413","R&D","Bachelor's","m","sourcing",2,30,3,4,"No",84,"Non-Promotion"
"414","Sales & Marketing","Bachelor's","m","other",1,51,5,19,"No",40,"Non-Promotion"
"415","Sales & Marketing","Master's & above","m","other",1,37,3,7,"No",54,"Non-Promotion"
"418","HR","Bachelor's","f","other",1,31,3,7,"No",51,"Non-Promotion"
"421","Technology","Bachelor's","m","sourcing",3,29,3,4,"No",81,"Non-Promotion"
"429","Operations","Bachelor's","m","other",1,37,3,11,"No",56,"Non-Promotion"
"430","Finance","Below Secondary","m","other",1,25,3,3,"No",61,"Non-Promotion"
"433","Operations","Bachelor's","m","other",1,35,5,10,"No",59,"Promotion"
"438","Operations","Bachelor's","f","other",1,38,2,8,"No",59,"Non-Promotion"
"440","Legal","Bachelor's","m","other",1,31,3,1,"No",62,"Non-Promotion"
"441","Technology","Master's & above","f","sourcing",1,32,1,5,"No",77,"Non-Promotion"
"442","Procurement","Bachelor's","m","other",3,24,3,2,"No",63,"Non-Promotion"
"443","Technology","Master's & above","m","sourcing",2,37,5,5,"No",77,"Non-Promotion"
"444","Sales & Marketing","Bachelor's","f","sourcing",1,32,5,8,"No",46,"Promotion"
"445","Sales & Marketing","Bachelor's","m","other",1,31,3,2,"No",48,"Non-Promotion"
"453","Sales & Marketing","Master's & above","m","sourcing",1,34,1,7,"No",50,"Non-Promotion"
"456","Operations","Master's & above","f","sourcing",1,48,3,15,"No",69,"Promotion"
"457","Operations","Bachelor's","m","other",1,34,4,3,"No",60,"Non-Promotion"
"458","Sales & Marketing","Master's & above","m","other",1,35,5,4,"No",47,"Non-Promotion"
"459","Analytics","Master's & above","m","sourcing",1,35,5,4,"No",84,"Non-Promotion"
"460","Technology","Bachelor's","f","sourcing",2,26,3,2,"No",79,"Non-Promotion"
"461","Sales & Marketing","Master's & above","m","sourcing",1,45,3,17,"No",49,"Non-Promotion"
"463","Sales & Marketing","Bachelor's","m","sourcing",1,30,5,7,"No",49,"Non-Promotion"
"477","Procurement","Master's & above","m","other",1,45,3,16,"No",87,"Promotion"
"481","Finance","Bachelor's","f","other",1,39,4,11,"No",59,"Non-Promotion"
"483","Operations","Master's & above","m","other",2,57,4,7,"No",58,"Non-Promotion"
"492","Sales & Marketing","Bachelor's","f","sourcing",1,43,5,4,"No",50,"Non-Promotion"
"494","Procurement","Master's & above","f","other",1,50,1,16,"No",68,"Non-Promotion"
"495","Operations","Master's & above","m","other",3,32,3,4,"No",64,"Promotion"
"497","Sales & Marketing","Bachelor's","m","other",1,32,1,5,"No",51,"Non-Promotion"
"498","Sales & Marketing","Bachelor's","m","sourcing",1,34,5,5,"No",49,"Non-Promotion"
"502","Sales & Marketing","Bachelor's","m","sourcing",1,35,4,10,"No",50,"Promotion"
"503","Operations","Bachelor's","m","other",1,33,5,8,"No",59,"Promotion"
"504","Operations","Bachelor's","m","sourcing",1,30,4,4,"No",59,"Non-Promotion"
"508","Sales & Marketing","Bachelor's","f","sourcing",1,34,2,7,"No",49,"Promotion"
"511","Operations","Bachelor's","f","sourcing",1,29,2,7,"No",60,"Non-Promotion"
"514","Operations","Bachelor's","m","other",3,40,3,11,"No",60,"Non-Promotion"
"517","Sales & Marketing","Bachelor's","f","sourcing",1,26,3,2,"No",49,"Non-Promotion"
"520","Procurement","Bachelor's","m","other",1,28,3,4,"No",65,"Non-Promotion"
"521","HR","Bachelor's","f","sourcing",1,30,3,3,"No",51,"Non-Promotion"
"522","Operations","Master's & above","m","other",1,59,4,4,"No",56,"Non-Promotion"
"524","Technology","Bachelor's","m","sourcing",1,31,3,4,"No",83,"Non-Promotion"
"525","Procurement","Bachelor's","f","other",1,26,3,2,"No",69,"Non-Promotion"
"526","Operations","Master's & above","f","sourcing",1,37,3,10,"No",62,"Non-Promotion"
"527","Operations","Bachelor's","f","sourcing",1,25,3,1,"No",62,"Non-Promotion"
"529","Operations","Master's & above","m","sourcing",1,39,4,10,"No",60,"Non-Promotion"
"537","R&D","Bachelor's","m","sourcing",1,30,5,1,"No",96,"Promotion"
"538","Technology","Bachelor's","m","other",1,45,4,3,"No",83,"Non-Promotion"
"541","Procurement","Bachelor's","f","sourcing",2,39,3,4,"No",73,"Non-Promotion"
"545","Sales & Marketing","Bachelor's","m","other",1,30,5,3,"No",52,"Non-Promotion"
"551","Operations","Bachelor's","m","other",1,30,4,4,"No",57,"Non-Promotion"
"552","Analytics","Master's & above","m","other",2,32,3,6,"No",86,"Non-Promotion"
"553","Sales & Marketing","Bachelor's","m","sourcing",1,29,5,2,"No",50,"Non-Promotion"
"555","Sales & Marketing","Master's & above","m","other",2,38,1,8,"No",47,"Non-Promotion"
"557","Finance","Master's & above","m","other",1,32,3,8,"No",58,"Non-Promotion"
"560","Finance","Bachelor's","f","sourcing",1,26,3,5,"No",56,"Non-Promotion"
"561","R&D","Bachelor's","m","sourcing",2,32,5,3,"No",83,"Promotion"
"562","Sales & Marketing","Bachelor's","m","other",2,26,3,3,"No",50,"Non-Promotion"
"566","Legal","Bachelor's","m","other",1,33,1,6,"No",66,"Non-Promotion"
"572","Analytics","Bachelor's","m","other",2,31,3,2,"No",84,"Non-Promotion"
"576","Procurement","Master's & above","m","other",1,41,2,12,"No",71,"Non-Promotion"
"577","R&D","Master's & above","m","other",1,35,5,4,"No",85,"Non-Promotion"
"579","Sales & Marketing","Master's & above","m","sourcing",3,33,2,7,"No",53,"Non-Promotion"
"580","Sales & Marketing","Master's & above","m","other",1,35,3,3,"No",47,"Non-Promotion"
"582","Procurement","Bachelor's","m","other",1,29,3,2,"No",68,"Non-Promotion"
"584","Operations","Master's & above","f","other",1,48,5,15,"No",61,"Non-Promotion"
"586","Sales & Marketing","Bachelor's","m","other",1,26,1,3,"No",50,"Non-Promotion"
"597","Finance","Bachelor's","f","sourcing",2,30,1,3,"No",59,"Non-Promotion"
"606","Sales & Marketing","Bachelor's","m","other",1,47,4,16,"No",48,"Promotion"
"614","Operations","Bachelor's","m","other",1,32,4,4,"Yes",57,"Promotion"
"615","Sales & Marketing","Bachelor's","m","other",5,27,3,2,"No",52,"Non-Promotion"
"621","Sales & Marketing","Bachelor's","m","other",1,42,3,2,"No",48,"Non-Promotion"
"622","Sales & Marketing","Master's & above","m","other",1,38,1,8,"No",54,"Non-Promotion"
"625","Sales & Marketing","Master's & above","m","other",1,33,4,5,"No",46,"Non-Promotion"
"627","Technology","Master's & above","m","other",2,50,5,14,"No",85,"Non-Promotion"
"628","Procurement","Bachelor's","f","other",2,29,3,4,"No",71,"Non-Promotion"
"629","Procurement","Bachelor's","m","other",1,29,5,4,"No",84,"Promotion"
"638","Procurement","Bachelor's","f","other",2,34,3,4,"No",62,"Non-Promotion"
"639","Finance","Bachelor's","f","other",1,30,3,3,"No",65,"Non-Promotion"
"641","Sales & Marketing","Master's & above","m","sourcing",1,31,1,2,"No",51,"Non-Promotion"
"642","Technology","Bachelor's","m","referred",1,41,5,7,"No",83,"Non-Promotion"
"644","Operations","Bachelor's","m","other",1,25,4,3,"No",58,"Non-Promotion"
"647","Technology","Master's & above","f","sourcing",1,56,2,16,"No",79,"Non-Promotion"
"652","Analytics","Bachelor's","m","other",2,30,2,3,"No",82,"Non-Promotion"
"655","Operations","Bachelor's","f","other",1,31,3,3,"No",60,"Non-Promotion"
"658","Operations","Bachelor's","m","sourcing",1,44,5,4,"No",60,"Non-Promotion"
"660","Technology","Bachelor's","f","other",1,35,4,3,"No",77,"Non-Promotion"
"667","Sales & Marketing","Bachelor's","m","other",1,32,1,5,"No",52,"Non-Promotion"
"668","Sales & Marketing","Bachelor's","m","other",1,36,3,10,"No",50,"Non-Promotion"
"669","Procurement","Master's & above","f","other",2,39,3,5,"No",68,"Non-Promotion"
"672","Operations","Bachelor's","m","sourcing",1,48,2,4,"No",58,"Non-Promotion"
"673","HR","Bachelor's","m","other",2,32,3,5,"No",49,"Non-Promotion"
"675","Operations","Master's & above","m","other",1,53,4,19,"No",57,"Non-Promotion"
"677","Finance","Master's & above","f","other",2,35,5,4,"No",59,"Non-Promotion"
"678","Analytics","Bachelor's","m","sourcing",1,30,1,4,"No",82,"Non-Promotion"
"682","Sales & Marketing","Bachelor's","m","sourcing",1,45,1,5,"No",52,"Non-Promotion"
"685","Sales & Marketing","Master's & above","m","other",1,43,5,14,"No",50,"Non-Promotion"
"686","Operations","Bachelor's","m","other",1,27,5,2,"No",58,"Non-Promotion"
"688","Sales & Marketing","Master's & above","m","sourcing",1,38,1,10,"No",50,"Non-Promotion"
"689","Analytics","Master's & above","m","other",1,31,4,5,"No",82,"Non-Promotion"
"690","Operations","Bachelor's","f","sourcing",1,30,2,2,"No",64,"Non-Promotion"
"692","Sales & Marketing","Master's & above","m","other",1,35,1,4,"No",48,"Non-Promotion"
"694","R&D","Bachelor's","m","sourcing",3,30,5,2,"No",85,"Non-Promotion"
"696","Sales & Marketing","Bachelor's","m","sourcing",2,28,3,2,"No",52,"Non-Promotion"
"697","Operations","Master's & above","m","other",1,42,4,7,"No",59,"Non-Promotion"
"698","Procurement","Bachelor's","m","sourcing",1,33,2,7,"No",68,"Non-Promotion"
"701","Technology","Master's & above","f","other",1,43,4,6,"No",81,"Non-Promotion"
"702","Operations","Bachelor's","f","sourcing",1,30,4,7,"No",59,"Non-Promotion"
"703","Analytics","Master's & above","m","sourcing",1,37,3,3,"No",85,"Non-Promotion"
"704","Technology","Bachelor's","m","other",1,33,4,6,"Yes",81,"Non-Promotion"
"705","Sales & Marketing","Master's & above","m","sourcing",1,38,5,10,"No",49,"Non-Promotion"
"706","Analytics","Bachelor's","f","sourcing",2,27,3,3,"No",85,"Promotion"
"707","Operations","Bachelor's","f","sourcing",1,24,5,2,"No",55,"Non-Promotion"
"709","Operations","Master's & above","m","other",2,42,5,2,"No",57,"Non-Promotion"
"711","Sales & Marketing","Bachelor's","m","other",2,25,3,2,"No",45,"Non-Promotion"
"716","Analytics","Bachelor's","m","other",2,28,3,2,"No",86,"Promotion"
"717","HR","Master's & above","f","other",1,36,3,8,"No",44,"Non-Promotion"
"720","Sales & Marketing","Bachelor's","m","other",2,25,1,4,"No",47,"Non-Promotion"
"721","HR","Master's & above","m","sourcing",1,45,3,3,"No",51,"Non-Promotion"
"722","Finance","Bachelor's","m","sourcing",1,31,3,4,"No",64,"Non-Promotion"
"723","HR","Bachelor's","m","other",1,39,3,11,"No",53,"Non-Promotion"
"724","Procurement","Bachelor's","f","other",1,39,4,5,"No",73,"Non-Promotion"
"725","Procurement","Bachelor's","f","other",1,25,2,2,"No",66,"Non-Promotion"
"727","Technology","Bachelor's","m","other",1,29,5,3,"No",80,"Non-Promotion"
"729","Operations","Bachelor's","m","other",1,27,4,3,"No",59,"Non-Promotion"
"731","Finance","Master's & above","m","sourcing",1,36,4,3,"No",55,"Non-Promotion"
"732","Operations","Bachelor's","m","other",1,35,5,9,"No",58,"Non-Promotion"
"734","Technology","Bachelor's","f","sourcing",2,32,3,5,"No",82,"Non-Promotion"
"737","Sales & Marketing","Master's & above","f","sourcing",1,32,2,5,"No",56,"Non-Promotion"
"738","Procurement","Bachelor's","m","other",1,41,5,4,"No",73,"Non-Promotion"
"740","Finance","Master's & above","m","sourcing",1,40,5,4,"No",58,"Non-Promotion"
"743","Legal","Master's & above","m","other",1,58,3,15,"No",60,"Non-Promotion"
"744","Sales & Marketing","Bachelor's","f","other",1,27,1,4,"No",53,"Non-Promotion"
"750","Procurement","Master's & above","f","other",1,37,3,3,"No",72,"Non-Promotion"
"751","HR","Bachelor's","m","other",1,30,5,7,"No",51,"Non-Promotion"
"752","Technology","Master's & above","m","sourcing",1,43,2,7,"No",77,"Non-Promotion"
"753","Technology","Master's & above","f","other",1,31,3,5,"No",81,"Non-Promotion"
"754","R&D","Master's & above","m","other",2,34,4,4,"No",86,"Non-Promotion"
"756","Analytics","Master's & above","m","other",2,30,3,6,"No",80,"Non-Promotion"
"758","Technology","Master's & above","m","other",1,34,5,5,"No",81,"Non-Promotion"
"759","Technology","Master's & above","m","other",1,36,2,8,"No",86,"Non-Promotion"
"761","Sales & Marketing","Bachelor's","m","sourcing",1,28,4,4,"No",45,"Non-Promotion"
"766","Procurement","Master's & above","f","sourcing",1,37,3,9,"No",67,"Non-Promotion"
"769","Sales & Marketing","Master's & above","m","sourcing",1,44,1,9,"No",54,"Non-Promotion"
"771","Analytics","Master's & above","m","other",1,34,2,6,"No",86,"Non-Promotion"
"773","Operations","Master's & above","f","sourcing",2,34,5,7,"No",61,"Non-Promotion"
"778","Sales & Marketing","Bachelor's","m","sourcing",1,60,2,12,"No",48,"Non-Promotion"
"780","Operations","Bachelor's","m","other",1,32,2,5,"No",62,"Non-Promotion"
"784","Sales & Marketing","Master's & above","m","sourcing",1,33,4,5,"No",49,"Non-Promotion"
"785","Sales & Marketing","Master's & above","f","other",1,31,3,1,"No",47,"Non-Promotion"
"788","Operations","Bachelor's","f","sourcing",1,29,5,2,"No",60,"Non-Promotion"
"796","HR","Master's & above","f","sourcing",1,43,5,11,"No",51,"Non-Promotion"
"801","Technology","Bachelor's","f","other",2,32,3,6,"No",79,"Non-Promotion"
"803","Sales & Marketing","Master's & above","m","sourcing",1,37,3,5,"No",49,"Non-Promotion"
"805","Operations","Master's & above","m","sourcing",2,35,3,9,"No",56,"Non-Promotion"
"806","Operations","Bachelor's","m","other",1,36,4,3,"No",74,"Promotion"
